time,load
2/10/16 20:59,78.2
2/10/16 21:59,72.8
2/10/16 22:59,75.5
2/10/16 23:59,72
2/11/16 0:59,70.8
2/11/16 1:59,68.6
2/11/16 2:59,69.3
2/11/16 3:59,71.3
2/11/16 4:59,70.6
2/11/16 5:59,71.7
2/11/16 6:59,69
2/11/16 7:59,42.8
2/11/16 8:59,43.1
2/11/16 9:59,40.4
2/11/16 10:59,39.4
2/11/16 11:59,35.9
2/11/16 12:59,36.5
2/11/16 13:59,36.3
2/11/16 14:59,38.3
2/11/16 15:59,39.7
2/11/16 16:59,40.7
2/11/16 17:59,60.2
2/11/16 18:59,67.3
2/11/16 19:59,65.9
2/11/16 20:59,65.7
2/11/16 21:59,65.6
2/11/16 22:59,66.3
2/11/16 23:59,66
2/12/16 0:59,67.8
2/12/16 1:59,72.2
